Question,Class
Do I need to enter ‘#’ after keying in my Card number/ Card expiry date/ CVV number,security
What details are required when I want to perform a secure IVR transaction,security
How should I get the IVR Password  if I hold an add-on card,security
How do I register my Mobile number for IVR Password ,security
How can I obtain an IVR Password ,security
Can I use the same IVR Password  to perform multiple transactions,security
Can I generate multiple IVR Passwords,security
How do I register for IVR password,security
What is IVR Password and how does it work,security
In how much time will the IVR Password be delivered to my mobile phone/email ID,security
Can the OTP be generated prior to the transaction,security
Can I continue using the Verified by Visa/MasterCard SecureCode/Protectbuy password for online transactions,security
On which mobile number will I receive the OTP,security
Is it necessary to register the card for an OTP transaction,security
Is this option available on all the online transactions,security
Can the OTP be used for multiple online transactions,security
How will the OTP be sent to the customers,security
What is the validity period of the OTP,security
What happens if I shop at a Verified by Visa/ MasterCard SecureCode merchant website while I'm not registered for this feature,security
Where can I shop with Verified by Visa,security
How will the online store know that I have Verified by Visa/ MasterCard SecureCode,security
How can I register / re-set password for VBV/MSC if my mobile number/ email ID is not updated in the bank's records,security
"Once I have registered, how long does it take for Verified by Visa / MasterCard SecureCode to become active for my card",security
What will happen if I try to register again & generate an OTP within 2 hours,security
"If my account is blocked, how do I unblock it",security
"How do I use Verified by Visa / MasterCard SecureCode when I shop online, once I’m registered",security
How does Verified by Visa/ MasterCard SecureCode work,security
I suspect someone has stolen my password or used it to make fraudulent purchases. What should I do,security
My spouse and I both have the same card number. How does Verified by Visa/ MasterCard SecureCode work for both of us,security
What is Verified by Visa/MasterCard SecureCode,security
How do I register my HDFC Bank Card,security
Can I register for Verified by Visa/MasterCard SecureCode with my existing HDFC Bank Card or do I need to apply for a new one,security
Can I register more than one HDFC Bank Credit/ Debit Card,security
"If I have just received a renewed card, do I need to re-register",security
Can I register my non-Visa payment Cards with Verified by Visa and non- MasterCard payment Cards with MasterCard SecureCode,security
Can I use Verified by Visa/ MasterCard SecureCode from any other computer,security
Do I need any special equipment or software on my computer,security
What is a Personal Assurance Message or Personal Greeting,security
How can I register for VBV/SC if my mobile number / Email ID is not updated in my Credit Card records with the Bank,security
How long does it take for the IVR Password  to get delivered using Verified by Visa/Mastercard Secure Code,security
"If I have registered two email IDs, on which email ID will I receive the IVR Password ",security
What is the validity of the IVR Password  using Verified by Visa/Mastercard Secure Code,security
What are the other things that I need to keep in mind about the IVR Password using Verified by Visa/Mastercard Secure Code,security
In what transactions is the One Time Password (IVR Password ) process applicable,security
I don't see my Personal Assurance Message on the Secure page . What should I do,security
"If I forget my VBV/MSC  password, how do I retrieve the same",security
"While trying to register my card, I am getting the error message stating mobile no. mismatch, what could be the reason",security
On which email id will I receive the OTP for Credit card registration or for password reset,security
"While trying to register I am getting error message Card already enrolled , what should I do",security
I don't remember my Verified by Visa / MasterCard Securecode login Id,security
Where do I find the CVV2,security
"I am unable to transact online as my card is de-registered status, how do I re-register my card",security
Is there a fee to register for Verified by Visa / MasterCard Securecode,security
What steps should I take to ensure that my VBV / MSC Password is strong and difficult to guess,security
Can I set my Personal Assurance Message to be the same as my VBV / MSC Password,security
What happens if I try to make a purchase at a merchant that doesn't participate in the Verified by Visa / MasterCard Securecode service,security
Can I get the benefit of Verified by Visa/ MasterCard SecureCode security at online stores that are not participating in the service,security
What security do I need to provide to obtain a Business loan,loans
What are the benefits of having a Current/Saving Account for my Business loan,loans
How long will it take for me to get a Business Loan,loans
Can I repay the loan earlier for Business Loan,loans
How can I get my address changed in my loan account,loans
What will be done with the post dated cheques if I request to change the mode of repayment/ account for my loan,loans
What are the charges I have to pay to change the mode of repayment/ account for my loan,loans
How can I change the mode of repayment/ account for my loan,loans
How do I obtain a Duplicate Repayment Schedule for my loan account,loans
How much loan can I avail of Business Loan,loans
How do I repay my Business Loan,loans
What are the loan tenure options for Business Loan,loans
Do I need to pledge anything or give collateral to get a car loan,loans
